日期,战区,渠道,品类,客户,签收额,台数
2024-01-15,北区,KA,旗舰系列,北区经销商01,80200.5,16
2024-01-15,北区,KA,旗舰系列,北区经销商02,26733.5,5
2024-01-15,北区,KA,旗舰系列,北区经销商03,16708.44,3
2024-01-15,北区,KA,旗舰系列,北区经销商04,13366.75,3
2024-01-15,北区,KA,旗舰系列,北区经销商05,10025.06,2
2024-01-15,北区,KA,旗舰系列,北区经销商06,8354.22,2
2024-01-15,北区,KA,旗舰系列,北区经销商07,6683.37,1
2024-01-15,北区,KA,旗舰系列,北区经销商08,5012.53,1
2024-01-15,北区,电商,旗舰系列,北区经销商01,56140.35,11
2024-01-15,北区,电商,旗舰系列,北区经销商02,18713.45,4
2024-01-15,北区,电商,旗舰系列,北区经销商03,11695.91,2
2024-01-15,北区,电商,旗舰系列,北区经销商04,9356.72,2
2024-01-15,北区,电商,旗舰系列,北区经销商05,7017.54,1
2024-01-15,北区,电商,旗舰系列,北区经销商06,5847.95,1
2024-01-15,北区,电商,旗舰系列,北区经销商07,4678.36,1
2024-01-15,北区,电商,旗舰系列,北区经销商08,3508.77,1
2024-01-15,北区,传统,旗舰系列,北区经销商01,64160.4,13
2024-01-15,北区,传统,旗舰系列,北区经销商02,21386.8,4
2024-01-15,北区,传统,旗舰系列,北区经销商03,13366.75,3
2024-01-15,北区,传统,旗舰系列,北区经销商04,10693.4,2
2024-01-15,北区,传统,旗舰系列,北区经销商05,8020.05,2
2024-01-15,北区,传统,旗舰系列,北区经销商06,6683.37,1
2024-01-15,北区,传统,旗舰系列,北区经销商07,5346.7,1
2024-01-15,北区,传统,旗舰系列,北区经销商08,4010.02,1
2024-01-15,北区,KA,主力系列,北区经销商01,174982.9,56
2024-01-15,北区,KA,主力系列,北区经销商02,58327.63,19
2024-01-15,北区,KA,主力系列,北区经销商03,36454.77,12
2024-01-15,北区,KA,主力系列,北区经销商04,29163.82,9
2024-01-15,北区,KA,主力系列,北区经销商05,21872.86,7
2024-01-15,北区,KA,主力系列,北区经销商06,18227.39,6
2024-01-15,北区,KA,主力系列,北区经销商07,14581.91,5
2024-01-15,北区,KA,主力系列,北区经销商08,10936.43,3
2024-01-15,北区,电商,主力系列,北区经销商01,122488.03,39
2024-01-15,北区,电商,主力系列,北区经销商02,40829.34,13
