日期,战区,渠道,型号,客户,签收金额,数量
2024-01-24,深圳,传统,KFR-26GW,客户04,2291,1
2024-01-02,深圳,传统,KF-35GW,客户01,5023,2
2024-01-23,深圳,传统,KFR-26GW,客户03,6424,3
2024-01-15,深圳,传统,KFR-100LW,客户11,4342,1
2024-01-14,深圳,传统,KFR-72LW,客户21,4102,1
2024-01-04,深圳,传统,KFR-35GW,客户02,5401,2
2024-01-24,深圳,传统,KFR-26GW,客户01,4189,2
2024-01-03,深圳,传统,KFR-50GW,客户02,6350,2
2024-01-07,深圳,传统,KFR-50LW,客户22,11092,3
2024-01-25,深圳,传统,KF-26GW,客户01,2034,1
2024-01-15,深圳,传统,KFR-35GW,客户01,2873,1
2024-01-12,深圳,传统,KFR-100LW,客户06,8702,2
2024-01-06,深圳,传统,KFR-32GW,客户04,7401,3
2024-01-30,深圳,KA,KFR-32GW,客户09,9076,4
2024-01-08,深圳,KA,KFR-100LW,客户12,17659,4
2024-01-09,深圳,KA,KF-32GW,客户21,10002,5
2024-01-21,深圳,KA,KFR-26GW,客户26,13034,6
2024-01-05,深圳,KA,KFR-50LW,客户25,16152,5
2024-01-14,深圳,KA,KFR-32GW,客户04,13247,6
2024-01-05,深圳,KA,KF-35GW,客户07,6770,3
2024-01-06,深圳,KA,KFR-50LW,客户01,6787,2
2024-01-13,深圳,KA,KF-26GW,客户08,3834,2
2024-01-31,深圳,KA,KFR-35GW,客户30,15573,6
2024-01-25,深圳,KA,KFR-26GW,客户18,13444,6
2024-01-01,深圳,KA,KFR-32GW,客户14,4764,2
2024-01-17,深圳,KA,KF-35GW,客户24,9472,4
2024-01-07,深圳,B2B,KFR-50LW,客户02,44229,14
2024-01-20,深圳,B2B,KFR-32GW,客户19,10475,5
2024-01-10,深圳,B2B,KFR-35GW,客户01,40766,16
2024-01-03,深圳,B2B,KFR-32GW,客户04,14429,7
2024-01-18,深圳,B2B,KF-26GW,客户22,16836,9
2024-01-31,深圳,B2B,KFR-32GW,客户11,41317,18
2024-01-22,深圳,B2B,KFR-32GW,客户11,23973,11
2024-01-08,深圳,O2O,KFR-50GW,客户10,2891,1
2024-01-23,深圳,O2O,KFR-32GW,客户06,2316,1
2024-01-28,深圳,O2O,KFR-100LW,客户03,4072,1
2024-01-30,广州,传统,KFR-50LW,客户04,7182,2
2024-01-26,广州,传统,KF-32GW,客户12,2370,1
2024-01-14,广州,传统,KFR-50GW,客户07,3506,1
2024-01-22,广州,传统,KFR-50GW,客户24,3462,1
2024-01-28,广州,传统,KFR-100LW,客户15,4347,1
2024-01-15,广州,传统,KFR-26GW,客户03,6950,3
2024-01-15,广州,传统,KFR-32GW,客户03,5146,2
2024-01-02,广州,传统,KF-32GW,客户23,2572,1
2024-01-28,广州,传统,KFR-100LW,客户11,5021,1
2024-01-07,广州,传统,KFR-32GW,客户07,5031,2
2024-01-09,广州,传统,KF-32GW,客户26,2067,1
2024-01-22,广州,KA,KF-26GW,客户04,12937,6
2024-01-24,广州,KA,KF-26GW,客户02,7867,4
2024-01-02,广州,KA,KFR-50LW,客户19,6777,2
2024-01-03,广州,KA,KFR-72LW,客户10,24535,6
2024-01-22,广州,KA,KF-32GW,客户01,4770,2
2024-01-20,广州,KA,KF-32GW,客户07,12957,6
2024-01-17,广州,KA,KFR-26GW,客户15,13491,6
2024-01-22,广州,KA,KFR-35GW,客户04,10425,4
2024-01-01,广州,KA,KFR-100LW,客户09,8850,2
2024-01-09,广州,KA,KFR-50GW,客户30,6467,2
2024-01-12,广州,B2B,KFR-35GW,客户01,29060,12
2024-01-21,广州,B2B,KFR-35GW,客户08,29624,14
2024-01-30,广州,B2B,KFR-50LW,客户15,38757,14
2024-01-24,广州,B2B,KFR-120LW,客户27,36103,9
2024-01-23,广州,B2B,KFR-50LW,客户04,37179,11
2024-01-30,广州,B2B,KFR-35GW,客户16,29827,13
2024-01-02,广州,O2O,KFR-26GW,客户08,4080,2
2024-01-23,广州,O2O,KFR-26GW,客户20,4201,2
2024-01-31,广州,O2O,KFR-50GW,客户01,3179,1
2024-01-05,东莞,传统,KF-35GW,客户11,4814,2
2024-01-29,东莞,传统,KFR-26GW,客户06,2226,1
2024-01-29,东莞,传统,KFR-35GW,客户16,8928,3
2024-01-05,东莞,传统,KF-32GW,客户29,7293,3
2024-01-29,东莞,传统,KF-35GW,客户03,2690,1
2024-01-26,东莞,传统,KFR-50GW,客户03,6629,2
2024-01-26,东莞,传统,KF-35GW,客户21,7511,3
2024-01-28,东莞,传统,KF-26GW,客户07,2023,1
2024-01-08,东莞,KA,KFR-32GW,客户26,9313,4
2024-01-11,东莞,KA,KFR-32GW,客户15,13011,5
2024-01-22,东莞,KA,KFR-35GW,客户01,10020,4
2024-01-04,东莞,KA,KF-50GW,客户11,5957,2
2024-01-04,东莞,KA,KF-32GW,客户04,13430,6
2024-01-14,东莞,KA,KFR-72LW,客户06,15148,4
2024-01-02,东莞,KA,KFR-72LW,客户10,19611,5
2024-01-22,东莞,KA,KF-26GW,客户01,11535,6
2024-01-30,东莞,B2B,KF-26GW,客户16,25610,16
